"library","category","source_root","source_relative_path","size_bytes","sha256","is_canonical","canonical_destination_relative_path"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(ECCV2024)SFHformer论文创新分析.pdf","296374","52C608DF51C7F13265220081A4E2E902B98797380A687425F88F41D03F0CAFF8","True","tools\module_reference_sync\pdfs\guides\ai_f\(ECCV2024)SFHformer论文创新分析__52C608DF.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2403.13642v1.pdf","43512681","52FEAFDA75F17BE50250C10D5572A10DCB82C741080409BD64B50AEEFA86855F","True","tools\module_reference_sync\pdfs\papers\ai_f\2403.13642v1__52FEAFDA.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\A+B 有效果，论文创新怎么写.pdf","97319","548C6D02ED6D0BEB58CBD019B985C6D33EAD4F0DF654BBAA1B0DC5A164583B3C","True","tools\module_reference_sync\pdfs\guides\ai_f\A+B_有效果，论文创新怎么写__548C6D02.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\即插即用各模块简介.pdf","12648789","5D57DD2F9BC920D08EE90D337D19A4F2282A72200286C19DB3DC8BBE0060E275","True","tools\module_reference_sync\pdfs\guides\ai_f\即插即用各模块简介__5D57DD2F.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\论文创新案例分析.pdf","666807","5DFC079D2293BA74E14049F7C36C671B8055EEFE96864433C18F3325B3E68910","True","tools\module_reference_sync\pdfs\guides\ai_f\论文创新案例分析__5DFC079D.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\ai缝合大王2025精选模块\2\2.pdf","4485229","63CA42BCA944DB3E114B802DAA19EDE6E698D2F444F81063AB4A9E5700418179","True","tools\module_reference_sync\pdfs\papers\ai_f\2__63CA42BC.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\6\6.pdf","3069226","6843FF8429BACA560E8E9A15B5262E80286F61D4D0CDC60581E5385FB0B24469","True","tools\module_reference_sync\pdfs\papers\ai_f\6__6843FF84.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(iccv2023）lsk.pdf","4945288","6ABDEB8A76E03A32AC7AF99DB753FA09514A95AEDD7580B1A949E82FE8273C9A","True","tools\module_reference_sync\pdfs\papers\ai_f\(iccv2023）lsk__6ABDEB8A.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(iccv2023)SG-Former.pdf","1485597","6F7AEEBFCF019FE82AED4FC5720DDE0FFD83A0DE493CF7999B731486AD97A63F","True","tools\module_reference_sync\pdfs\papers\ai_f\(iccv2023)SG-Former__6F7AEEBF.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\常见多尺度特征提取.pdf","361257","723F094B5931BBB778BB0370D1630D66FBBE7089F35B8B39BC42791353104FFF","True","tools\module_reference_sync\pdfs\papers\ai_f\常见多尺度特征提取__723F094B.pdf"
